Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
,,400.0,Ground out of 1,Super Area,"Shyam Villa V, Dum Dum",India-- Kolkata,Unfurnished,Bachelors#/Fami=ly,1.0,Contact Agent,5500
,3.0,1320.0,Ground out of 2,Carpet Area,Salt Lake City Sector 1,.-9 Kolkata,Unfurnished,B<achelo_rs,2.0,Contact Agent,35000
2022-04-24,2.0 room,1000.0,,,"Anandapuri, Barrackpore",,Furnished,Ba=chelors/Famil@y,2.0,Contact Owner,11000
2022-04-28,2.0,700.0,,Carpet Area,"Sarat Ghosh Garden, Dhakuria",>-9 Kolkata,Unfurnished,Ba%chelo/rs,1.0,Contact Owner,10000
2022-05-10,2.0,800.0,Ground out of 2,Carpet Area,locality,,Unfurnished,^Bache%lors/Family,,Contact Owner,6500
2022-06-08,2.0,,Ground out of 3,Super Area,Baguiati,India-& Kolkata,Furnished,*Bachelors/Fam:ily,,Contact Owner,6000
,,1700.0,Ground out of 2,Super Area,Salt Lake City,India-< Kolkata,Unfurnished,Bache_lor@s/Family,2.0,Contact Owner,36125
,2.0,600.0,Ground out of 2,,Purba Putiary,,Unfurnished,,1.0,Contact Owner,6800
2022-06-20,2.0,850.0,1 out of 2,,Barasat,India-\ Kolkata,,,2.0,Contact Owner,8500
2022-05-22,,550.0,1 out of 3,CARPET AREA,Birati,India-( Kolkata,Unfurnished,<Bache)lors,1.0,,5000
2022-06-30,1.0,650.0Square Feet,Ground out of 2,Carpet Area,"Garia Station, Garia",India-% Kolkata,,Bachelors/Fam:il&y,1.0,Contact Owner,6500
2022-04-23,,800.0,Ground out of 1,Carpet Area,Santragachi,India-' Kolkata,,Bachelors/Fami$l$y,1.0,Contact Owner,6500
2022-05-31,2.0,475.0,,Super Area,Birati,India-$ Kolkata,Unfurnished,Bachelors/Fa</mily,1.0,Contact Owner,4500
2022-06-19,1.0,200.0,Ground out of 1,Carpet Area,,India-' Kolkata,Unfurnished,"Bach.elors/Famil,y",1.0,Contact Agent,6000
,1.0,400.0,Ground out of 2,Carpet Area,Salt Lake City Sector 5,India-' Kolkata,Unfurnished,"Ba[chelors/""Family",1.0,,10000
,1.0,500.0,Ground out of 2,,"Madurdaha, Hussainpur",}-9 Kolkata,Furnished,Bache^lors/Famil=y,1.0,Contact Agent,12000
2022-06-19,2.0,550.0Square Feet,,Carpet Area,Salt Lake City Sector 5,}-9 Kolkata,Unfurnished,Bachel{ors@/Family,1.0,Contact Agent,12000
2022-05-31,2.0,800.0,1 out of 2,Super Area,,#-9 Kolkata,Unfurnished,Bac_helors/Family#,1.0,Contact Owner,12000
2022-05-22,2.0,1000.0,2 out of 3,Super Area,Airport Area Behala,India-> Kolkata,,,2.0,Contact Owner,9000
2022-06-23,1.0,,Ground out of 5,Carpet Area,Sonarpur,_-9 Kolkata,Semi-Furnished,Bach$el*ors,1.0,Contact Owner,5000
,1.0,,1 out of 2,,"Picnic Garden, E M Bypass",India-# Kolkata,Unfurnished,Bachelor^s/\Family,1.0,Contact Agent,6000
2022-06-03,2.0,450.0,1 out of 1,Carpet Area,Bisharpara,+-9 Kolkata,Unfurnished,,1.0,Contact Owner,5500
2022-06-03,2.0,450.0,1 out of 2,Carpet Area,Bisharpara,India-\ Kolkata,Unfurnished,Bachelors/Fam@i@ly,1.0,Contact Owner,5500
2022-05-08,2.0,1100.0,Ground out of 1,Carpet Area,Nayabad,/-9 Kolkata,Unfurnished,Bache_lo^rs/Family,2.0,Contact Owner,8500
,,450.0,2 out of 2,Super Area,"Ananda Pally, Jadavpur",India-- Kolkata,Unfurnished,Bachelors${/Family,,Contact Owner,5000
2022-07-04,2.0,1100.0,Ground out of 2,Carpet Area,Salt Lake City Sector 2,,Unfurnished,|Bachelo:rs,2.0,Contact Owner,23000
2022-06-14,2.0,,2 out of 2,,Behala,?-9 Kolkata,Unfurnished,Bachelo/rs]/Family,1.0,Contact Owner,5500
2022-06-03,,,Ground out of 2,Carpet Area,Airport Area,India-$ Kolkata,Unfurnished,"Bache,lo!rs",1.0,Contact Owner,8500
2022-04-29,,1100.0,Ground out of 2,,Salt Lake City Sector 2,India-' Kolkata,Semi-Furnished,"Bachelors/Fami&""ly",2.0,Contact Owner,22000
2022-05-09,1.0,800.0,2 out of 3,Super Area,Barrackpore,India-| Kolkata,Unfurnished,,,Contact Owner,5500
,1.0,500.0,,,Ranikuthi Telephone Exchange,India-\ Kolkata,,Bachel%&ors/Family,2.0,Contact Agent,7000
2022-05-26,1.0,400.0,3 out of 5,Carpet Area,Hooghly-Chinsurah,@-9 Kolkata,Unfurnished,Bache/_lors,1.0,Contact Owner,5000
2022-07-03,1.0,450.0,1 out of 1,,"Bansdroni Mauza, Krishnanagar",India-} Kolkata,Unfurnished,_Bachel'ors/Family,1.0,Contact Owner,5000
2022-05-13,,550.0,,Super Area,Kaikhali,India-# Kolkata,Unfurnished,Bachelors/Famil^y*,1.0,Contact Agent,6500
,2.0,600.0,1 out of 2,,700051,*-9 Kolkata,Unfurnished,Bache@lors/Family),1.0,Contact Owner,8000
2022-06-26,1.0,200.0,1 out of 3,Super Area,Jodhpur Park,India-! Kolkata,Unfurnished,"B;achelors/Famil,y",1.0,,5500
2022-05-10,2.0,,1 out of 2,,Purba Sinthi Area,?-9 Kolkata,,"Bachelors/Fami""l/y",1.0,Contact Owner,6000
2022-06-19,1.0,450.0,Ground out of 3,Carpet Area,Kadam Tala,India-_ Kolkata,Unfurnished,,1.0,Contact Owner,5500
2022-05-14,2.0,1050.0,Ground out of 1,Super Area,Baidyabati,India-_ Kolkata,Unfurnished,"Bachelors/F;amily""",2.0,Contact Owner,10000
2022-04-26,3.0,1000.0,2 out of 5,Carpet Area,Bansdroni,(-9 Kolkata,Unfurnished,Ba-che%lors,2.0,Contact Owner,10000
2022-06-01,2.0,1200.0,Ground out of 3,Super Area,Sodepur,India-< Kolkata,,Ba^chelors/Fa'mily,2.0,Contact Owner,10000
2022-07-02,3.0,1100.0,1 out of 1,,Jagacha,,Semi-Furnished,Fam?i@ly,2.0,Contact Owner,12000
,,220.0,Ground out of 2,,New Town,India-* Kolkata,Unfurnished,Ba&chelors/Famil.y,1.0,,5200
2022-06-20,1.0,350.0,,Super Area,Behala,India-] Kolkata,Unfurnished,Bache/lo<rs/Family,1.0,,4000
2022-04-26,3.0,1100.0,Ground out of 3,Carpet Area,FC Block,,Unfurnished,"$Bachelo""rs",1.0,,30000
2022-05-17,2.0,800.0,Ground out of 2,,Sodepur,,Unfurnished,"Ba(chelors/F,amily",1.0,Contact Owner,5146
2022-06-01,,950.0,Ground out of 2,Super Area,,{-9 Kolkata,Unfurnished,Bac(helors/Fa<mily,1.0,Contact Owner,12000
2022-06-24,3.0,,Ground out of 3,,Hooghly-Chinsurah,|-9 Kolkata,Unfurnished,Ba-chelors/Family-,,Contact Owner,7000
2022-05-15,2.0,700.0,Ground out of 2,Super Area,Behala,,,,1.0,Contact Owner,8500
2022-06-24,1.0,500.0,1 out of 3,Super Area,"AH Block, Salt Lake",?-9 Kolkata,Unfurnished,Bach=elors/Fa/mily,1.0,Contact Owner,7000
2022-06-23,2.0,570.0,Ground out of 3,Super Area,"Dhakuria -South East, Dhakuria",India-% Kolkata,Unfurnished,Ba;chelo:rs/Family,1.0,,9500
2022-04-30,2.0,650.0,2 out of 3,Super Area,Baghajatin,]-9 Kolkata,Unfurnished,,1.0,Contact Owner,8000
2022-05-22,3.0,1200.0,1 out of 2,Super Area,Tollygunge,^-9 Kolkata,Unfurnished,Ba.chelor<s/Family,3.0,,15000
2022-06-08,5.0,960.0,,Super Area,Kasba,,Unfurnished,Bache+lors/F(amily,2.0,Contact Owner,22500
,2.0,1250.0,1 out of 2,Super Area,Rajarhat,(-9 Kolkata,Semi-Furnished,B!achelor<s/Family,2.0,Contact Owner,12500
2022-05-30,,,2 out of 5,Super Area,,*-9 Kolkata,Furnished,,2.0,Contact Owner,34000
,,950.0,,Carpet Area,Kaikhali,India-' Kolkata,Semi-Furnished,Bachelors/Fam'-ily,,,14000
2022-06-03,1.0,600.0,1 out of 2,CARPET AREA,Salt Lake City Sector 5,'-9 Kolkata,Unfurnished,'Bach-elors/Family,1.0,Contact Agent,9500
,,750.0,2 out of 2,Super Area,Baughati,India-- Kolkata,Unfurnished,Bachel%ors/F<amily,1.0,Contact Owner,7000
2022-06-13,3.0,1200.0,3 out of 3,,Bansdroni,India-= Kolkata,Unfurnished,Bac(helors/Fami/ly,2.0,Contact Owner,20000
2022-07-03,1.0,400.0,Ground out of 2,,Salt Lake City Sector 5,India-[ Kolkata,Semi-Furnished,Bachelors/Fam]il#y,1.0,,6500
2022-04-29,1.0,600.0,Ground out of 2,Carpet Area,Garfa,,Furnished,Ba'chelors/Fam.ily,1.0 Bathrooms,Contact Owner,7500
2022-05-10,2.0,700.0,Ground out of 2,Super Area,,India-- Kolkata,Unfurnished,,1.0,Contact Owner,6500
2022-06-14,2.0,850.0,Ground out of 3,Super Area,,India-% Kolkata,Semi-Furnished,Bachelor;s/'Family,1.0,Contact Owner,9500
2022-05-12,1.0,500.0,Ground out of 1,,Shyam Bazar,#-9 Kolkata,,Bache+lors/F&amily,1.0,Contact Owner,1800
2022-06-25,2.0,650.0,Ground out of 2,Carpet Area,Baghajatin,",-9 Kolkata",,:Bachel<ors/Family,1.0,Contact Owner,7500
,2.0,,,Super Area,Bansdroni,,Semi-Furnished,B(ac=helors/Family,2.0,Contact Owner,10000
2022-06-17,3.0,830.0,3 out of 4,Super Area,Dum Dum,India-: Kolkata,Unfurnished,",Bachelors/@Family",,,15000
2022-07-06,2.0,,Ground out of 2,Super Area,Keshtopur,"India-"" Kolkata",,"B%achelo""rs",,Contact Agent,7000
2022-04-27,2.0,,1 out of 2,Super Area,"Chandannagar, Hooghly-Chinsurah",^-9 Kolkata,Unfurnished,Ba/chelors/Fa$mily,1.0,Contact Owner,6000
2022-06-02,2.0,1200.0,Ground out of 1,Super Area,"Sakuntala Park, Behala",/-9 Kolkata,Semi-Furnished,Fami&%ly,2.0,Contact Owner,14000
2022-06-03,2.0,1000.0,Ground out of 2,Super Area,,]-9 Kolkata,Furnished,,,Contact Owner,22000
2022-06-29,2.0,750.0,Ground out of 2,Carpet Area,,&-9 Kolkata,Unfurnished,B:achelors/\Family,2.0,,18000
2022-06-26,2.0,800.0,,CARPET AREA,Garia,India-@ Kolkata,Unfurnished,Bac-h.elors,2.0,Contact Owner,10000
2022-06-10,,1200.0,Ground out of 3,Super Area,Madhyam Gram,India-$ Kolkata,Unfurnished,\Ba{chelors/Family,2.0,Contact Owner,6000
2022-05-11,,750.0,4 out of 4,,,India-$ Kolkata,Unfurnished,Bachelors/Fami(l;y,,Contact Owner,10000
2022-06-10,3.0,1500.0,11 out of 19,Super Area,,,Semi-Furnished,Bachelors/Fami:ly!,,,10000
,1.0,300.0,1 out of 3,,"Noapara, Addarsha Pally",,Unfurnished,"Bach!elor,s/Family",1.0,Contact Owner,5000
,3.0,800.0,Ground out of 2,Carpet Area,"Arobindo Pally, Paschim Putiary",India-& Kolkata,Unfurnished,,1.0,Contact Owner,10000
2022-06-10,2.0,450.0,Ground out of 2,Super Area,Dum Dum,,Unfurnished,B-achelors&/Family,,Contact Owner,7000
2022-06-24,4.0,1200.0,5 out of 10,Super Area,Naihati,%-9 Kolkata,Furnished,>Bac<helors/Family,2.0,Contact Owner,10000
2022-06-10,2.0,,11 out of 14,Super Area,Howrah,,Semi-Furnished,Bachelors?/Fam<ily,2.0,Contact Owner,6000
2022-06-26,2.0,,Ground out of 1,,Garia,,Semi-Furnished,>Bachelors/Fami'ly,2.0,Contact Owner,18000
,2.0,460.0,Ground out of 2,Carpet Area,Majarhati,India-% Kolkata,Unfurnished,Bache)lo.rs,,Contact Owner,8000
,2.0,530.0,2 out of 3,Super Area,,India-< Kolkata,Semi-Furnished,F%ami+ly,1.0,Contact Owner,8000
2022-06-15,2.0,650.0,Ground out of 4,,,India-/ Kolkata,Semi-Furnished,"Bache,lors/Famil{y",2.0,Contact Owner,13000
2022-05-08,2.0,700.0,Ground out of 1,Carpet Area,Salt Lake City Sector 2,India-- Kolkata,Semi-Furnished,Bachelor(^s,2.0,Contact Owner,20000
2022-06-17,2.0,400.0,2 out of 3,Super Area,"Baishnabghata Patuli Township, Patuli",,Unfurnished,]Bac&helors/Family,1.0,Contact Owner,6000
2022-06-27,2.0,1000.0,Ground out of 2,Super Area,"Picnic Garden, Tiljala",India-^ Kolkata,Unfurnished,Bachelors/Fa{@mily,2.0,,12000
2022-06-04,1.0,400.0,Ground out of 2,Carpet Area,"New Garia, Garia",]-9 Kolkata,Semi-Furnished,<Bac{helors,1.0,Contact Owner,10000
2022-05-10,2.0,,Ground out of 3,Carpet Area,Santoshpur,,Unfurnished,Ba*che;lors,,Contact Owner,14000
2022-07-03,2.0,850.0Square Feet,1 out of 4,Carpet Area,Baranagar,India-. Kolkata,Semi-Furnished,[Ba*chelors,2.0,Contact Owner,10000
2022-06-21,,558.0,3 out of 3,,Tollygunge,,Unfurnished,Bachelors/;Fami$ly,2.0,Contact Agent,10500
2022-06-08,2.0,800.0,3 out of 4,,,]-9 Kolkata,Unfurnished,Bachelors/F>amil^y,1.0,Contact Owner,6000
2022-06-10,2.0,,1 out of 2,Carpet Area,"Bansdroni Mauza, Krishnanagar",%-9 Kolkata,Unfurnished,Bachelors/F+amily\,2.0,Contact Owner,12000
2022-06-27,3.0,1600.0,1 out of 3,Super Area,Ramrajatala,India-! Kolkata,Furnished,Bac.helo%rs/Family,,,14000
2022-06-14,1.0,150.0,1 out of 5,,,,Unfurnished,Bachel[.ors,1.0,Contact Owner,3700
2022-06-06,3.0,,Ground out of 3,,Salt Lake City Sector 2,?-9 Kolkata,Unfurnished,Bach^+elors,2.0,Contact Agent,40000
2022-05-20,3.0,1000.0,2 out of 4,Super Area,Rash Behari Avenue Connector,_-9 Kolkata,,B\achelors/Fam(ily,1.0,Contact Owner,25000
2022-06-20,1.0,700.0,,,Baranagar,[-9 Kolkata,Unfurnished,",Bach*elors/Family",1.0,Contact Owner,2200
2022-04-28,1.0,175.0,Ground out of 2,Super Area,New Town,India-! Kolkata,Unfurnished,,1.0,Contact Owner,3300
2022-05-12,1.0,,Ground out of 1,Super Area,"Siriti, Tollygunge",India-< Kolkata,Semi-Furnished,Bach'elors/Famil{y,1.0,Contact Owner,5000
2022-06-02,3.0,1700.0,1 out of 3,,Salt Lake City,India-+ Kolkata,Semi-Furnished,B}-achelors,3.0,Contact Agent,60000
2022-06-09,2.0,,2 out of 3,Carpet Area,,India-( Kolkata,Unfurnished,,,Contact Owner,6000
,3.0,,1 out of 2,Super Area,"Michael Nagar, New Barrakpur",%-9 Kolkata,Semi-Furnished,Bache$lors/F]amily,3.0,Contact Owner,7000
,1.0,400.0,4 out of 4,,Keshtopur,India-@ Kolkata,Unfurnished,Bachelor&s/Fam+ily,1.0,Contact Agent,5000
,2.0,600.0,Ground out of 2,Super Area,Beliaghata,{-9 Kolkata,Unfurnished,-Bachelors/Family_,,Contact Agent,11000
2022-06-28,2.0,721.0,3 out of 4,,Belgharia Nimta,,Furnished,Bac(helors/Fam[ily,,,10000
2022-07-06,3.0,,,Carpet Area,Salt Lake City Sector 2,India-. Kolkata,Unfurnished,Bachelors/:Family[,2.0,Contact Agent,22000
2022-06-05,3.0,2210.0,Ground out of 2,Carpet Area,"Vedic Village, Rajarhat",India-. Kolkata,,"Bachelors/,*Family",,Contact Owner,65000
2022-04-29,2.0,675.0,Ground out of 2,,Dum Dum,India-> Kolkata,,\Bache@lors/Family,,Contact Owner,7500
2022-06-08,2.0,1320.0,Lower Basement out of 2,,Ballygunge,(-9 Kolkata,Furnished,Bache!(lors/Family,,Contact Owner,45000
2022-06-19,1.0,,Ground out of 2,,Salt Lake City Sector 5,,Unfurnished,Bachelors/%Fa+mily,1.0,Contact Agent,5000
2022-05-11,2.0,720.0,Ground out of 1,Super Area,Shyam Bazar,India-< Kolkata,Unfurnished,Bac=h^elors,2.0,Contact Owner,12000
2022-05-12,5.0,1880.0,2 out of 2,Carpet Area,Dashdrone,>-9 Kolkata,Unfurnished,B;ach\elors,2.0,Contact Owner,25000
2022-05-29,3.0,850.0,1 out of 1,Carpet Area,"Sangati Colony, Netaji Nagar",India-% Kolkata,Semi-Furnished,B.ac@helors/Family,3.0,Contact Owner,18000
2022-06-29,,1050.0,,Carpet Area,"Sahapur, New Alipore",>-9 Kolkata,,Bache'lors/Family/,,Contact Owner,25000
2022-05-16,1.0,320.0,2 out of 7,Super Area,"Shaheen Apartment, Andheri West",=-9 Mumbai,Semi-Furnished,Bach@elors/F;amily,1.0,Contact Owner,25000
2022-06-14,2.0,750.0,4 out of 10,Carpet Area,Santacruz West,\-9 Mumbai,,Bachelo!-rs/Family,2.0,Contact Agent,70000
2022-05-26,1.0,450.0,7 out of 10,Carpet Area,"Rose Queen, Old Khar",India-- Mumbai,Furnished,Bach]el*ors/Family,1.0,Contact Agent,45000
2022-05-27,,1100.0,2 out of 13,Carpet Area,"Sabari Palm View, Chembur",India-/ Mumbai,Unfurnished,">F,amily",,Contact Agent,75000
2022-06-07,1.0,640.0,6 out of 7,Super Area,Mira Road,India-/ Mumbai,Furnished,Bache|lors/F+amily,1.0,Contact Owner,14000
2022-06-20,1.0,,4 out of 7,,"Siddhivinayak, Bandra West",,Unfurnished,,1.0,,60000
2022-06-20,2.0,800.0,14 out of 14,Carpet Area,parivar safalya chs,]-9 Mumbai,Unfurnished,Bachelors/F]amily@,2.0,Contact Owner,160000
2022-07-07,,1600.0,43 out of 78,,"Trump Tower, Worli",%-9 Mumbai,Semi-Furnished,Bach'elors/|Family,,,300000
2022-06-08,1.0,460.0,2 out of 8,Super Area,Sion,India-$ Mumbai,Unfurnished,Bac=he]lors/Family,,,22000
2022-07-07,,,13 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",,Semi-Furnished,Bachelors./Fa(mily,4.0,,130000
2022-06-02,1.0,480.0,2 out of 4,Carpet Area,Sion Hospital Colony,India-* Mumbai,,Bachelors\},2.0,Contact Agent,33000
2022-05-27,1.0,,,,Sion,India-^ Mumbai,Furnished,"Ba""che*lors",2.0,Contact Agent,32000
2022-07-08,1.0,490.0,,Carpet Area,"Sion East, Sion",?-9 Mumbai,Semi-Furnished,,2.0,Contact Agent,30000
2022-06-12,1.0,620.0,,Super Area,"Sai Palace Apartment, Vile Parle West",@-9 Mumbai,Furnished,Bachel;ors/Family?,1.0,Contact Owner,49000
2022-05-10,2.0,518.0,,CARPET AREA,Bhandup West,India-/ Mumbai,Semi-Furnished,"Bachel,ors?/Family",,Contact Owner,28000
2022-05-13,2.0 room,,4 out of 7,,"Yogi Hills, Mulund West",,Semi-Furnished,Bache^lors/Fa.mily,2.0,Contact Agent,33500
2022-07-09,2.0,777.0,18 out of 24,Carpet Area,"Hiranandani Castle Rock, Powai",+-9 Mumbai,Semi-Furnished,Bac\helors/Fam?ily,2.0,,85000
,2.0,650.0,,Carpet Area,Charkop,,Unfurnished,Fa(mily/,2.0,Contact Agent,35000
2022-06-21,3.0,1800.0,3 out of 7,,,,,B>achelo(rs/Family,4.0,Contact Agent,270000
2022-07-04,5.0,2308.0,17 out of 31,Carpet Area,"Runwal Elegante, Andheri West",,Furnished,Famil.'y,5.0,,400000
2022-07-09,1.0,,11 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",India-' Mumbai,,,2.0,Contact Agent,21000
2022-05-25,2.0,890.0,,Carpet Area,,India-} Mumbai,Unfurnished,"""Bachelo{rs",2.0,,150000
2022-06-05,,,14 out of 23,Super Area,Mahim West,}-9 Mumbai,Unfurnished,Bache%l\ors/Family,1.0,Contact Owner,22000
2022-07-01,2.0,,4 out of 7,Carpet Area,Prabhadevi,India-! Mumbai,Semi-Furnished,,2.0,Contact Agent,100000
2022-07-09,2.0,888.0,,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",India-/ Mumbai,Semi-Furnished,B?ach=elors/Family,,Contact Agent,60000
2022-06-02,2.0,650.0,,Carpet Area,"Nakoda Heights, Nalasopara",,Semi-Furnished,Famil*y%,2.0,Contact Agent,8000
2022-06-27,1.0,275.0,19 out of 24,Carpet Area,Worli,,Unfurnished,/Bachelo!rs,,Contact Agent,20000
2022-06-14,,700.0,3 out of 21,CARPET AREA,"Man Opus, Kashimira",,Semi-Furnished,!Family=,2.0,Contact Agent,20000
2022-06-20,,,,Super Area,Lal Baug,India-^ Mumbai,,B!achelors_/Family,1.0,Contact Owner,25000
2022-05-14,1.0,424.0,3 out of 7,Super Area,,India-+ Mumbai,Semi-Furnished,Bachelors/?Fam{ily,1.0,Contact Owner,14000
2022-06-04,1.0,400.0,8 out of 8,Super Area,Goregaon West,India-> Mumbai,Furnished,Bache<lo$rs/Family,2.0,Contact Owner,19411
2022-06-11,1.0,450.0,6 out of 12,Carpet Area,"Dheeraj Hill View Tower, Thakur Village, Kandivali East",*-9 Mumbai,Furnished,Bach'elors/Fami!ly,,Contact Agent,23000
2022-07-09,4.0,,4 out of 58,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",India-( Mumbai,Semi-Furnished,Bachel^ors/F<amily,5.0,Contact Agent,190000
,,,Ground out of 4,Super Area,,"India-, Mumbai",Semi-Furnished,B{achelors/Fam.ily,1.0,Contact Owner,32000
,,610.0,1 out of 5,Carpet Area,shivsagar,India-& Mumbai,Furnished,,2.0,,68000
2022-05-22,1.0,,,Carpet Area,"Kyraa Ariso Apartment, Chembur",>-9 Mumbai,Semi-Furnished,Bachelors/Fa_mil!y,2.0,Contact Owner,30000
2022-05-31,3.0,1200.0,60 out of 66,Carpet Area,"Lodha Azzuro , Parel",India-\ Mumbai,Semi-Furnished,B/achelors/>Family,3.0,Contact Agent,110000
2022-07-09,2.0,722.0,34 out of 48,Carpet Area,"Sheth Montana, Mulund West",,Semi-Furnished,,,Contact Agent,44000
2022-05-25,1.0,450.0,5 out of 8,,"Gokul Regency Apartment, Thakur Complex",India-[ Mumbai,Unfurnished,Bachelors/(F*amily,1.0,Contact Agent,20000
,1.0,500.0,2 out of 8,,Ghatkopar West,,Semi-Furnished,Bac+helors/F)amily,2.0,Contact Owner,25000
,,680.0,,Carpet Area,,India-: Mumbai,,Bach(elo]rs,2.0,,40000
2022-07-09,2.0,1150.0,14 out of 40,Carpet Area,"Montana Giona, Moti Nagar",India-; Mumbai,,{Ba<chelors/Family,2.0,,43000
2022-06-22,2.0,830.0,2 out of 2,Carpet Area,,@-9 Mumbai,Furnished,Bachelo+rs$,2.0,,44000
,1.0,550.0,5 out of 7,Carpet Area,Bandra West,<-9 Mumbai,Furnished,Bachelo-rs/Fam[ily,1.0,Contact Agent,75000
,1.0,470.0,6 out of 7,Carpet Area,,,,,2.0,Contact Agent,32000
2022-07-07,1.0,410.0,,Carpet Area,Mira Bhayandar,,Semi-Furnished,"F$ami,ly",2.0,Contact Agent,16000
2022-07-07,2.0,710.0,11 out of 14,Carpet Area,"Ajmera Bhakti Park, Bhakti Park","""-9 Mumbai",Semi-Furnished,"Bachel""ors/Fa|mily",2.0,Contact Agent,65000
2022-05-27,2.0,750.0,,,"Ajmera Bhakti Park, Bhakti Park",,Semi-Furnished,Bac@helors/F#amily,2.0,Contact Agent,45000
2022-06-12,2.0,800.0,6 out of 7,Carpet Area,Chembur,India-< Mumbai,Unfurnished,Ba;chelors/Family>,2.0,Contact Agent,57000
2022-07-01,1.0,435.0Square Feet,,,Film City Road,India-? Mumbai,Unfurnished,Bac^helor]s/Family,2.0,Contact Agent,27000
,1.0,500.0,26 out of 44,Carpet Area,"Lodha New Cuffe Parade, Wadala",,Semi-Furnished,"Bac,helors/F[amily",1.0,Contact Agent,57000
2022-06-20,2.0,800.0,1 out of 8,Carpet Area,"Evershine Grandeur, Mindspace",,Furnished,#Bachelors/Fam+ily,2.0,Contact Agent,55000
2022-06-15,1.0,,2 out of 4,Carpet Area,Vile Parle East,)-9 Mumbai,Semi-Furnished,Fa!+mily,2.0,Contact Agent,40000
,2.0,1050.0,25 out of 42,Carpet Area,,^-9 Mumbai,,Bachelo]r.s/Family,2.0,Contact Agent,95000
,2.0,700.0,25 out of 41,Carpet Area,"Lodha New Cuffe Parade, Wadala",,Semi-Furnished,Bachelors/:Family#,2.0,Contact Agent,85000
2022-06-25,4.0,,53 out of 78,Carpet Area,"Trump Tower, Worli",}-9 Mumbai,Semi-Furnished,_Bac^helors/Family,,Contact Agent,300000
2022-06-29,2.0,,2 out of 5,,Breach Candy,India-_ Mumbai,Furnished,Ba^chelor's/Family,1.0,Contact Agent,80000
2022-06-23,1.0,300.0,Ground out of 7,Super Area,Malad West,India-/ Mumbai,Unfurnished,Bachelors|/Fa<mily,2.0,Contact Owner,13000
2022-05-15,1.0,550.0,3 out of 4,Carpet Area,"Ambika Siddhi Apartment, Ghatkopar",India-) Mumbai,Unfurnished,Bac]helor:s,,Contact Owner,28000
2022-07-06,3.0,932.0,14 out of 20,,Powai,India-\ Mumbai,Semi-Furnished,@Bachelors/Fa}mily,3.0,Contact Agent,89000
2022-05-27,,,,,,<-9 Mumbai,Unfurnished,B>a{chelors/Family,2.0,Contact Agent,28000
2022-05-16,,600.0,2 out of 4,Carpet Area,Mira Road,India-* Mumbai,Unfurnished,Bachelors\/_Family,,Contact Owner,13000
2022-07-04,,424.0,16 out of 23,Carpet Area,,India-& Mumbai,Unfurnished,,2.0,,24000
2022-07-06,2.0,560.0,Ground out of 3,Carpet Area,Andheri East,}-9 Mumbai,Furnished,Bachel&ors.,2.0,Contact Owner,38000
2022-06-04,1.0,450.0,,Carpet Area,Goregaon West,India-> Mumbai,Unfurnished,Bachel[ors_,2.0,,32000
2022-05-14,4.0,3000.0,39 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",?-9 Mumbai,Semi-Furnished,Bach+el^ors/Family,,Contact Agent,350000
2022-06-06,1.0,600.0,3 out of 7,Carpet Area,,India-' Mumbai,Furnished,F=amil&y,,Contact Agent,40000
2022-05-27,3.0,1400.0,16 out of 21,,,India-$ Mumbai,Furnished,Bac/helor-s,3.0,Contact Agent,150000
2022-07-09,2.0,630.0,10 out of 32,CARPET AREA,Kanjurmarg West,India-@ Mumbai,Unfurnished,B]ac|helors,2.0,Contact Agent,45000
2022-07-02,3.0,1400.0,4 out of 8,Carpet Area,Khar West,|-9 Mumbai,Unfurnished,Bachelors/Famil-_y,3.0,Contact Agent,170000
2022-05-31,1.0,320.0,12 out of 24,,Worli,India-} Mumbai,,\Fam\ily,,Contact Owner,30000
,2.0,1000.0,4 out of 8,,Bandra West,&-9 Mumbai,,B(ache|lors,,Contact Agent,210000
2022-07-06,3.0,1150.0,32 out of 41,Carpet Area,"Kanakia Levels, Malad East","India-"" Mumbai",Unfurnished,Bachel_ors/^Family,3.0,,75000
2022-07-09,2.0,751.0,,Carpet Area,,/-9 Mumbai,Semi-Furnished,,2.0,Contact Agent,47000
2022-06-20,2.0,,4 out of 7,,"Kailash Tower, Nalasopara",(-9 Mumbai,Furnished,,2.0,Contact Agent,14000
2022-07-06,2.0,696.0,13 out of 21,Carpet Area,Chandivali,India-? Mumbai,Semi-Furnished,,2.0,Contact Agent,55000
,,1600.0,,Carpet Area,"Anant Bhoomi, Mahavir Nagar",India-% Mumbai,Unfurnished,"Fami?l""y",4.0,Contact Agent,120000
2022-07-06,3.0,2500.0,47 out of 89,Carpet Area,"India Bulls Sky Forest, Lower Parel",!-9 Mumbai,Semi-Furnished,Bache@lo]rs,3.0,Contact Agent,300000
,3.0,,7 out of 41,Carpet Area,"Kanakia Levels, Malad East",,Unfurnished,Bachelors{|/Family,3.0,Contact Agent,70000
